date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202110,AG,chronic_disease,4459,indication,694072,22183,NA,0.328,32.800000000000004,24.8,0.64,3.2,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202111,AG,chronic_disease,3304,indication,694072,25487,NA,0.312,31.2,25.5,0.48,3.67,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202112,AG,chronic_disease,5513,indication,694072,31000,NA,0.335,33.5,26.6,0.79,4.47,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202113,AG,chronic_disease,5187,indication,694072,36187,NA,0.33,33,27.400000000000002,0.75,5.21,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202114,AG,chronic_disease,7404,indication,694072,43591,NA,0.354,35.4,28.499999999999996,1.07,6.28,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202115,AG,chronic_disease,8134,indication,694072,51725,NA,0.323,32.300000000000004,28.999999999999996,1.17,7.45,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202116,AG,chronic_disease,12311,indication,694072,64036,NA,0.411,41.099999999999994,30.7,1.77,9.23,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202117,AG,chronic_disease,6387,indication,694072,70423,NA,0.256,25.6,30.2,0.92,10.15,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202118,AG,chronic_disease,9854,indication,694072,80277,NA,0.283,28.299999999999997,30,1.42,11.57,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202119,AG,chronic_disease,7808,indication,694072,88085,NA,0.238,23.799999999999997,29.299999999999997,1.12,12.69,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202120,AG,chronic_disease,10218,indication,694072,98303,NA,0.265,26.5,28.999999999999996,1.47,14.16,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202121,AG,chronic_disease,7523,indication,694072,105826,NA,0.184,18.4,27.800000000000004,1.08,15.25,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202122,AG,chronic_disease,7706,indication,694072,113532,NA,0.15,15,26.3,1.11,16.36,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202123,AG,chronic_disease,5646,indication,694072,119178,NA,0.113,11.3,24.7,0.81,17.17,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202124,AG,chronic_disease,4272,indication,694072,123450,NA,0.101,10.100000000000001,23.599999999999998,0.62,17.79,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202125,AG,chronic_disease,3148,indication,694072,126598,NA,0.087,8.7,22.6,0.45,18.24,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202126,AG,chronic_disease,2233,indication,694072,128831,NA,0.064,6.4,21.7,0.32,18.56,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202127,AG,chronic_disease,1805,indication,694072,130636,NA,0.05,5,20.7,0.26,18.82,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202128,AG,chronic_disease,1666,indication,694072,132302,NA,0.056,5.6000000000000005,20,0.24,19.06,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202129,AG,chronic_disease,1288,indication,694072,133590,NA,0.067,6.7,19.7,0.19,19.25,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202130,AG,chronic_disease,1033,indication,694072,134623,NA,0.07,7.000000000000001,19.400000000000002,0.15,19.4,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202131,AG,chronic_disease,836,indication,694072,135459,NA,0.065,6.5,19.2,0.12,19.52,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202132,AG,chronic_disease,861,indication,694072,136320,NA,0.077,7.7,19,0.12,19.64,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202133,AG,chronic_disease,924,indication,694072,137244,NA,0.076,7.6,18.8,0.13,19.77,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202134,AG,chronic_disease,1164,indication,694072,138408,NA,0.077,7.7,18.6,0.17,19.94,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202135,AG,chronic_disease,1209,indication,694072,139617,NA,0.081,8.1,18.4,0.17,20.12,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202136,AG,chronic_disease,1318,indication,694072,140935,NA,0.076,7.6,18.099999999999998,0.19,20.31,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202137,AG,chronic_disease,1408,indication,694072,142343,NA,0.073,7.3,17.9,0.2,20.51,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202138,AG,chronic_disease,1158,indication,694072,143501,NA,0.071,7.1,17.599999999999998,0.17,20.68,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202139,AG,chronic_disease,1060,indication,694072,144561,NA,0.072,7.199999999999999,17.5,0.15,20.83,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202140,AG,chronic_disease,1063,indication,694072,145624,NA,0.078,7.8,17.299999999999997,0.15,20.98,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202141,AG,chronic_disease,993,indication,694072,146617,NA,0.072,7.199999999999999,17.1,0.14,21.12,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202142,AG,chronic_disease,806,indication,694072,147423,NA,0.075,7.5,17,0.12,21.24,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202143,AG,chronic_disease,570,indication,694072,147993,NA,0.069,6.9,16.900000000000002,0.08,21.32,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202144,AG,chronic_disease,506,indication,694072,148499,NA,0.085,8.5,16.900000000000002,0.07,21.4,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202145,AG,chronic_disease,738,indication,694072,149237,NA,0.097,9.700000000000001,16.8,0.11,21.5,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202146,AG,chronic_disease,4729,indication,694072,153966,NA,0.193,19.3,16.900000000000002,0.68,22.18,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202147,AG,chronic_disease,5314,indication,694072,159280,NA,0.19,19,16.900000000000002,0.77,22.95,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202148,AG,chronic_disease,6818,indication,694072,166098,NA,0.211,21.099999999999998,17.1,0.98,23.93,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202149,AG,chronic_disease,6771,indication,694072,172869,NA,0.204,20.4,17.2,0.98,24.91,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202150,AG,chronic_disease,6127,indication,694072,178996,NA,0.172,17.2,17.2,0.88,25.79,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202151,AG,chronic_disease,3475,indication,694072,182471,NA,0.134,13.4,17.1,0.5,26.29,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202152,AG,chronic_disease,2825,indication,694072,185296,NA,0.116,11.600000000000001,17,0.41,26.7,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202201,AG,chronic_disease,4634,indication,694072,189930,NA,0.099,9.9,16.7,0.67,27.36,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202202,AG,chronic_disease,3744,indication,694072,193674,NA,0.102,10.2,16.5,0.54,27.9,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202203,AG,chronic_disease,2479,indication,694072,196153,NA,0.103,10.299999999999999,16.400000000000002,0.36,28.26,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202204,AG,chronic_disease,1823,indication,694072,197976,NA,0.104,10.4,16.3,0.26,28.52,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202205,AG,chronic_disease,949,indication,694072,198925,NA,0.099,9.9,16.2,0.14,28.66,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202206,AG,chronic_disease,605,indication,694072,199530,NA,0.1,10,16.2,0.09,28.75,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202207,AG,chronic_disease,301,indication,694072,199831,NA,0.08,8,16.2,0.04,28.79,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202208,AG,chronic_disease,201,indication,694072,200032,NA,0.082,8.200000000000001,16.1,0.03,28.82,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202209,AG,chronic_disease,127,indication,694072,200159,NA,0.097,9.700000000000001,16.1,0.02,28.84,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202210,AG,chronic_disease,123,indication,694072,200282,NA,0.114,11.4,16.1,0.02,28.86,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202211,AG,chronic_disease,111,indication,694072,200393,NA,0.111,11.1,16.1,0.02,28.87,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202212,AG,chronic_disease,151,indication,694072,200544,NA,0.12,12,16.1,0.02,28.89,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202213,AG,chronic_disease,91,indication,694072,200635,NA,0.09,9,16.1,0.01,28.91,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202214,AG,chronic_disease,74,indication,694072,200709,NA,0.096,9.6,16.1,0.01,28.92,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202215,AG,chronic_disease,73,indication,694072,200782,NA,0.132,13.200000000000001,16.1,0.01,28.93,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202216,AG,chronic_disease,110,indication,694072,200892,NA,0.141,14.099999999999998,16.1,0.02,28.94,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202217,AG,chronic_disease,96,indication,694072,200988,NA,0.125,12.5,16.1,0.01,28.96,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202218,AG,chronic_disease,92,indication,694072,201080,NA,0.135,13.5,16.1,0.01,28.97,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202219,AG,chronic_disease,78,indication,694072,201158,NA,0.123,12.3,16.1,0.01,28.98,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202220,AG,chronic_disease,76,indication,694072,201234,NA,0.119,11.899999999999999,16.1,0.01,28.99,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202221,AG,chronic_disease,57,indication,694072,201291,NA,0.099,9.9,16.1,0.01,29,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202222,AG,chronic_disease,89,indication,694072,201380,NA,0.127,12.7,16.1,0.01,29.01,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202223,AG,chronic_disease,85,indication,694072,201465,NA,0.12,12,16.1,0.01,29.03,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202224,AG,chronic_disease,100,indication,694072,201565,NA,0.113,11.3,16.1,0.01,29.04,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202225,AG,chronic_disease,99,indication,694072,201664,NA,0.114,11.4,16.1,0.01,29.06,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202226,AG,chronic_disease,120,indication,694072,201784,NA,0.147,14.7,16.1,0.02,29.07,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202227,AG,chronic_disease,146,indication,694072,201930,NA,0.088,8.799999999999999,16.1,0.02,29.09,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202228,AG,chronic_disease,220,indication,694072,202150,NA,0.084,8.4,16.1,0.03,29.13,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202229,AG,chronic_disease,232,indication,694072,202382,NA,0.11,11,16.1,0.03,29.16,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
202230,AG,chronic_disease,214,indication,694072,202596,NA,0.1,10,16.1,0.03,29.19,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed
