date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202119,AG,male,14728,sex,348814,138119,4.22,39.6,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.45,45
202120,AG,male,18514,sex,348814,156633,5.31,44.9,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.48,48
202121,AG,male,20666,sex,348814,177299,5.92,50.83,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.504,50.4
202122,AG,male,26678,sex,348814,203977,7.65,58.48,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.52,52
202123,AG,male,25925,sex,348814,229902,7.43,65.91,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.52,52
202124,AG,male,22443,sex,348814,252345,6.43,72.34,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.53,53
202125,AG,male,18858,sex,348814,271203,5.41,77.75,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.523,52.300000000000004
202126,AG,male,18635,sex,348814,289838,5.34,83.09,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.533,53.300000000000004
202127,AG,male,19403,sex,348814,309241,5.56,88.65,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.542,54.2
202128,AG,male,16312,sex,348814,325553,4.68,93.33,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.553,55.300000000000004
202129,AG,male,10243,sex,348814,335796,2.94,96.27,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.535,53.5
202130,AG,male,7671,sex,348814,343467,2.2,98.47,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.521,52.1
202131,AG,male,6576,sex,348814,350043,1.89,100.35,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.512,51.2
202132,AG,male,5788,sex,348814,355831,1.66,102.01,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.516,51.6
202133,AG,male,6087,sex,348814,361918,1.75,103.76,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.503,50.3
202134,AG,male,7584,sex,348814,369502,2.17,105.93,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.503,50.3
202135,AG,male,7545,sex,348814,377047,2.16,108.09,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.508,50.8
202136,AG,male,9025,sex,348814,386072,2.59,110.68,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.522,52.2
202137,AG,male,10183,sex,348814,396255,2.92,113.6,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.525,52.5
202138,AG,male,8229,sex,348814,404484,2.36,115.96,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.505,50.5
202139,AG,male,7484,sex,348814,411968,2.15,118.11,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.511,51.1
202140,AG,male,7107,sex,348814,419075,2.04,120.14,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.523,52.300000000000004
202141,AG,male,7246,sex,348814,426321,2.08,122.22,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.524,52.400000000000006
202142,AG,male,5646,sex,348814,431967,1.62,123.84,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.523,52.300000000000004
202143,AG,male,4293,sex,348814,436260,1.23,125.07,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.519,51.9
202144,AG,male,3235,sex,348814,439495,0.93,126,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.543,54.300000000000004
202145,AG,male,3786,sex,348814,443281,1.09,127.08,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.496,49.6
202146,AG,male,12254,sex,348814,455535,3.51,130.6,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.5,50
202147,AG,male,12919,sex,348814,468454,3.7,134.3,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.462,46.2
202148,AG,male,14841,sex,348814,483295,4.25,138.55,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.46,46
202149,AG,male,15525,sex,348814,498820,4.45,143,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.469,46.9
202150,AG,male,17082,sex,348814,515902,4.9,147.9,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.478,47.8
202151,AG,male,13318,sex,348814,529220,3.82,151.72,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.512,51.2
202152,AG,male,12222,sex,348814,541442,3.5,155.22,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.501,50.1
202201,AG,male,23906,sex,348814,565348,6.85,162.08,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.512,51.2
202202,AG,male,18655,sex,348814,584003,5.35,167.43,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.51,51
202203,AG,male,12187,sex,348814,596190,3.49,170.92,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.505,50.5
202204,AG,male,8704,sex,348814,604894,2.5,173.41,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.496,49.6
202205,AG,male,4829,sex,348814,609723,1.38,174.8,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.504,50.4
202206,AG,male,2997,sex,348814,612720,0.86,175.66,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.497,49.7
202207,AG,male,1864,sex,348814,614584,0.53,176.19,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.496,49.6
202208,AG,male,1215,sex,348814,615799,0.35,176.54,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.493,49.3
202209,AG,male,619,sex,348814,616418,0.18,176.72,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.475,47.5
202210,AG,male,507,sex,348814,616925,0.15,176.86,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.468,46.800000000000004
202211,AG,male,494,sex,348814,617419,0.14,177.01,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.494,49.4
202212,AG,male,608,sex,348814,618027,0.17,177.18,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.484,48.4
202213,AG,male,499,sex,348814,618526,0.14,177.32,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.495,49.5
202214,AG,male,390,sex,348814,618916,0.11,177.43,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.506,50.6
202215,AG,male,300,sex,348814,619216,0.09,177.52,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.543,54.300000000000004
202216,AG,male,415,sex,348814,619631,0.12,177.64,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.533,53.300000000000004
202217,AG,male,372,sex,348814,620003,0.11,177.75,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.484,48.4
202218,AG,male,343,sex,348814,620346,0.1,177.84,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.502,50.2
202219,AG,male,318,sex,348814,620664,0.09,177.94,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.502,50.2
202220,AG,male,305,sex,348814,620969,0.09,178.02,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.479,47.9
202221,AG,male,280,sex,348814,621249,0.08,178.1,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.485,48.5
202222,AG,male,343,sex,348814,621592,0.1,178.2,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.49,49
202223,AG,male,357,sex,348814,621949,0.1,178.3,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.506,50.6
202224,AG,male,444,sex,348814,622393,0.13,178.43,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.502,50.2
202225,AG,male,447,sex,348814,622840,0.13,178.56,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.516,51.6
202226,AG,male,425,sex,348814,623265,0.12,178.68,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.52,52
202227,AG,male,842,sex,348814,624107,0.24,178.92,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.508,50.8
202228,AG,male,1293,sex,348814,625400,0.37,179.29,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.494,49.4
202229,AG,male,1029,sex,348814,626429,0.29,179.59,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.489,48.9
202230,AG,male,916,sex,348814,627345,0.26,179.85,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.427,42.699999999999996
202231,AG,male,737,sex,348814,628082,0.21,180.06,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.457,45.7
202232,AG,male,834,sex,348814,628916,0.24,180.3,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.416,41.6
202233,AG,male,710,sex,348814,629626,0.2,180.5,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.421,42.1
202234,AG,male,711,sex,348814,630337,0.2,180.71,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.401,40.1
202235,AG,male,411,sex,348814,630748,0.12,180.83,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.425,42.5
202236,AG,male,422,sex,348814,631170,0.12,180.95,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.478,47.8
202237,AG,male,351,sex,348814,631521,0.1,181.05,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.476,47.599999999999994
202238,AG,male,239,sex,348814,631760,0.07,181.12,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.47,47
202052,AG,female,1,sex,345258,1,0,0,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,1,100
202053,AG,female,168,sex,345258,169,0.05,0.05,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.68,68
202101,AG,female,1335,sex,345258,1504,0.39,0.44,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.528,52.800000000000004
202102,AG,female,1956,sex,345258,3460,0.57,1,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.558,55.800000000000004
202103,AG,female,3368,sex,345258,6828,0.98,1.98,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.545,54.50000000000001
202104,AG,female,4284,sex,345258,11112,1.24,3.22,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.596,59.599999999999994
202105,AG,female,5141,sex,345258,16253,1.49,4.71,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.592,59.199999999999996
202106,AG,female,4438,sex,345258,20691,1.29,5.99,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.575,57.49999999999999
202107,AG,female,6087,sex,345258,26778,1.76,7.76,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.547,54.7
202108,AG,female,8330,sex,345258,35108,2.41,10.17,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.559,55.900000000000006
202109,AG,female,7749,sex,345258,42857,2.24,12.41,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.564,56.39999999999999
202110,AG,female,7539,sex,345258,50396,2.18,14.6,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.554,55.400000000000006
202111,AG,female,5766,sex,345258,56162,1.67,16.27,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.545,54.50000000000001
202112,AG,female,8688,sex,345258,64850,2.52,18.78,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.528,52.800000000000004
202113,AG,female,8225,sex,345258,73075,2.38,21.17,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.523,52.300000000000004
202114,AG,female,11127,sex,345258,84202,3.22,24.39,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.532,53.2
202115,AG,female,14265,sex,345258,98467,4.13,28.52,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.566,56.599999999999994
202116,AG,female,15369,sex,345258,113836,4.45,32.97,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.513,51.300000000000004
202117,AG,female,13040,sex,345258,126876,3.78,36.75,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.522,52.2
202118,AG,female,17754,sex,345258,144630,5.14,41.89,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.51,51
202119,AG,female,18017,sex,345258,162647,5.22,47.11,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.55,55.00000000000001
202120,AG,female,20082,sex,345258,182729,5.82,52.93,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.52,52
202121,AG,female,20304,sex,345258,203033,5.88,58.81,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.496,49.6
202122,AG,female,24658,sex,345258,227691,7.14,65.95,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.48,48
202123,AG,female,23975,sex,345258,251666,6.94,72.89,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.48,48
202124,AG,female,19912,sex,345258,271578,5.77,78.66,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.47,47
202125,AG,female,17169,sex,345258,288747,4.97,83.63,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.477,47.699999999999996
202126,AG,female,16345,sex,345258,305092,4.73,88.37,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.467,46.7
202127,AG,female,16377,sex,345258,321469,4.74,93.11,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.458,45.800000000000004
202128,AG,female,13178,sex,345258,334647,3.82,96.93,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.447,44.7
202129,AG,female,8897,sex,345258,343544,2.58,99.5,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.465,46.5
202130,AG,female,7060,sex,345258,350604,2.04,101.55,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.479,47.9
202131,AG,female,6280,sex,345258,356884,1.82,103.37,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.488,48.8
202132,AG,female,5426,sex,345258,362310,1.57,104.94,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.484,48.4
202133,AG,female,6014,sex,345258,368324,1.74,106.68,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.497,49.7
202134,AG,female,7490,sex,345258,375814,2.17,108.85,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.497,49.7
202135,AG,female,7299,sex,345258,383113,2.11,110.96,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.492,49.2
202136,AG,female,8269,sex,345258,391382,2.4,113.36,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.478,47.8
202137,AG,female,9224,sex,345258,400606,2.67,116.03,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.475,47.5
202138,AG,female,8082,sex,345258,408688,2.34,118.37,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.495,49.5
202139,AG,female,7175,sex,345258,415863,2.08,120.45,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.489,48.9
202140,AG,female,6486,sex,345258,422349,1.88,122.33,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.477,47.699999999999996
202141,AG,female,6577,sex,345258,428926,1.9,124.23,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.476,47.599999999999994
202142,AG,female,5148,sex,345258,434074,1.49,125.72,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.477,47.699999999999996
202143,AG,female,3974,sex,345258,438048,1.15,126.88,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.481,48.1
202144,AG,female,2719,sex,345258,440767,0.79,127.66,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.457,45.7
202145,AG,female,3847,sex,345258,444614,1.11,128.78,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.504,50.4
202146,AG,female,12253,sex,345258,456867,3.55,132.33,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.5,50
202147,AG,female,15025,sex,345258,471892,4.35,136.68,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.538,53.800000000000004
202148,AG,female,17415,sex,345258,489307,5.04,141.72,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.54,54
202149,AG,female,17607,sex,345258,506914,5.1,146.82,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.531,53.1
202150,AG,female,18633,sex,345258,525547,5.4,152.22,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.522,52.2
202151,AG,female,12677,sex,345258,538224,3.67,155.89,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.488,48.8
202152,AG,female,12165,sex,345258,550389,3.52,159.41,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.499,49.9
202201,AG,female,22781,sex,345258,573170,6.6,166.01,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.488,48.8
202202,AG,female,17903,sex,345258,591073,5.19,171.2,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.49,49
202203,AG,female,11949,sex,345258,603022,3.46,174.66,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.495,49.5
202204,AG,female,8839,sex,345258,611861,2.56,177.22,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.504,50.4
202205,AG,female,4743,sex,345258,616604,1.37,178.59,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.496,49.6
202206,AG,female,3030,sex,345258,619634,0.88,179.47,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.503,50.3
202207,AG,female,1891,sex,345258,621525,0.55,180.02,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.504,50.4
202208,AG,female,1247,sex,345258,622772,0.36,180.38,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.506,50.6
202209,AG,female,685,sex,345258,623457,0.2,180.58,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.525,52.5
202210,AG,female,576,sex,345258,624033,0.17,180.74,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.532,53.2
202211,AG,female,506,sex,345258,624539,0.15,180.89,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.506,50.6
202212,AG,female,648,sex,345258,625187,0.19,181.08,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.516,51.6
202213,AG,female,510,sex,345258,625697,0.15,181.23,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.505,50.5
202214,AG,female,380,sex,345258,626077,0.11,181.34,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.494,49.4
202215,AG,female,252,sex,345258,626329,0.07,181.41,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.457,45.7
202216,AG,female,363,sex,345258,626692,0.11,181.51,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.467,46.7
202217,AG,female,397,sex,345258,627089,0.11,181.63,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.516,51.6
202218,AG,female,340,sex,345258,627429,0.1,181.73,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.498,49.8
202219,AG,female,316,sex,345258,627745,0.09,181.82,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.498,49.8
202220,AG,female,332,sex,345258,628077,0.1,181.92,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.521,52.1
202221,AG,female,297,sex,345258,628374,0.09,182,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.515,51.5
202222,AG,female,357,sex,345258,628731,0.1,182.1,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.51,51
202223,AG,female,349,sex,345258,629080,0.1,182.21,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.494,49.4
202224,AG,female,441,sex,345258,629521,0.13,182.33,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.498,49.8
202225,AG,female,419,sex,345258,629940,0.12,182.45,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.484,48.4
202226,AG,female,393,sex,345258,630333,0.11,182.57,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.48,48
202227,AG,female,815,sex,345258,631148,0.24,182.8,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.492,49.2
202228,AG,female,1324,sex,345258,632472,0.38,183.19,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.506,50.6
202229,AG,female,1076,sex,345258,633548,0.31,183.5,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.511,51.1
202230,AG,female,1231,sex,345258,634779,0.36,183.86,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.573,57.3
202231,AG,female,877,sex,345258,635656,0.25,184.11,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.543,54.300000000000004
202232,AG,female,1170,sex,345258,636826,0.34,184.45,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.584,58.4
202233,AG,female,978,sex,345258,637804,0.28,184.73,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.579,57.9
202234,AG,female,1063,sex,345258,638867,0.31,185.04,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.599,59.9
202235,AG,female,557,sex,345258,639424,0.16,185.2,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.575,57.49999999999999
202236,AG,female,461,sex,345258,639885,0.13,185.34,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.522,52.2
202237,AG,female,387,sex,345258,640272,0.11,185.45,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.524,52.400000000000006
202238,AG,female,269,sex,345258,640541,0.08,185.53,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0.53,53
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202101,AG,unknown,1,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202102,AG,unknown,1,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202103,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202104,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202105,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202106,AG,unknown,1,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202107,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202108,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202109,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202110,AG,unknown,1,sex,NA,4,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202111,AG,unknown,0,sex,NA,4,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202112,AG,unknown,1,sex,NA,5,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202113,AG,unknown,0,sex,NA,5,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202114,AG,unknown,1,sex,NA,6,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202115,AG,unknown,0,sex,NA,6,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202116,AG,unknown,1,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202117,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202118,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
202119,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2022-09-27_07-00-25,detailed,0,0
