geoRegion,period_start_date,period_end_date,pop,inzCategoryNormalized,type,geoRegion_type,version,geoVersion
BZRK0101,2020-12-28,2021-01-10,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-01-11,2021-01-24,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-01-25,2021-02-07,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-02-08,2021-02-21,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-02-22,2021-03-07,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-03-08,2021-03-21,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-03-22,2021-04-04,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-04-05,2021-04-18,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-04-19,2021-05-02,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-05-03,2021-05-16,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-05-17,2021-05-30,56370,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-05-31,2021-06-13,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-06-14,2021-06-27,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-06-28,2021-07-11,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-07-12,2021-07-25,56370,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-07-26,2021-08-08,56370,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-08-09,2021-08-22,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-08-23,2021-09-05,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-09-06,2021-09-19,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-09-20,2021-10-03,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-10-04,2021-10-17,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-10-18,2021-10-31,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-11-01,2021-11-14,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-11-15,2021-11-28,56370,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-11-29,2021-12-12,56370,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-12-13,2021-12-26,56370,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2021-12-27,2022-01-09,56370,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-01-10,2022-01-23,56370,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-01-24,2022-02-06,56370,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-02-07,2022-02-20,56370,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-02-21,2022-03-06,56370,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-03-07,2022-03-20,56370,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-03-21,2022-04-03,56370,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-04-04,2022-04-17,56370,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-04-18,2022-05-01,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-05-02,2022-05-15,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-05-16,2022-05-29,56370,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-05-30,2022-06-12,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-06-13,2022-06-26,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-06-27,2022-07-10,56370,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-07-11,2022-07-24,56370,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-07-25,2022-08-07,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-08-08,2022-08-21,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-08-22,2022-09-04,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-09-05,2022-09-18,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-09-19,2022-10-02,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-10-03,2022-10-16,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-10-17,2022-10-30,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-10-31,2022-11-13,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-11-14,2022-11-27,56370,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-11-28,2022-12-11,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-12-12,2022-12-25,56370,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2022-12-26,2023-01-08,56370,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-01-09,2023-01-22,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-01-23,2023-02-05,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-02-06,2023-02-19,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-02-20,2023-03-05,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-03-06,2023-03-19,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-03-20,2023-04-02,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-04-03,2023-04-16,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-04-17,2023-04-30,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-05-01,2023-05-14,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-05-15,2023-05-28,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-05-29,2023-06-11,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-06-12,2023-06-25,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-06-26,2023-07-09,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-07-10,2023-07-23,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-07-24,2023-08-06,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-08-07,2023-08-20,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-08-21,2023-09-03,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-09-04,2023-09-17,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-09-18,2023-10-01,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-10-02,2023-10-15,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-10-16,2023-10-29,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-10-30,2023-11-12,56370,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0101,2023-11-13,2023-11-26,56370,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-02-24,2020-03-08,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-03-09,2020-03-22,32136,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-03-23,2020-04-05,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-04-06,2020-04-19,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-04-20,2020-05-03,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-05-04,2020-05-17,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-05-18,2020-05-31,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-06-01,2020-06-14,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-06-15,2020-06-28,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-06-29,2020-07-12,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-07-13,2020-07-26,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-07-27,2020-08-09,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-08-10,2020-08-23,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-08-24,2020-09-06,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-09-07,2020-09-20,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-09-21,2020-10-04,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-10-05,2020-10-18,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-10-19,2020-11-01,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-11-02,2020-11-15,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-11-16,2020-11-29,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-11-30,2020-12-13,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-12-14,2020-12-27,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2020-12-28,2021-01-10,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-01-11,2021-01-24,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-01-25,2021-02-07,32136,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-02-08,2021-02-21,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-02-22,2021-03-07,32136,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-03-08,2021-03-21,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-03-22,2021-04-04,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-04-05,2021-04-18,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-04-19,2021-05-02,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-05-03,2021-05-16,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-05-17,2021-05-30,32136,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-05-31,2021-06-13,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-06-14,2021-06-27,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-06-28,2021-07-11,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-07-12,2021-07-25,32136,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-07-26,2021-08-08,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-08-09,2021-08-22,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-08-23,2021-09-05,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-09-06,2021-09-19,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-09-20,2021-10-03,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-10-04,2021-10-17,32136,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-10-18,2021-10-31,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-11-01,2021-11-14,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-11-15,2021-11-28,32136,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-11-29,2021-12-12,32136,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-12-13,2021-12-26,32136,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2021-12-27,2022-01-09,32136,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-01-10,2022-01-23,32136,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-01-24,2022-02-06,32136,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-02-07,2022-02-20,32136,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-02-21,2022-03-06,32136,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-03-07,2022-03-20,32136,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-03-21,2022-04-03,32136,1920+,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-04-04,2022-04-17,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-04-18,2022-05-01,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-05-02,2022-05-15,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-05-16,2022-05-29,32136,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-05-30,2022-06-12,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-06-13,2022-06-26,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-06-27,2022-07-10,32136,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-07-11,2022-07-24,32136,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-07-25,2022-08-07,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-08-08,2022-08-21,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-08-22,2022-09-04,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-09-05,2022-09-18,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-09-19,2022-10-02,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-10-03,2022-10-16,32136,960-1919,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-10-17,2022-10-30,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-10-31,2022-11-13,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-11-14,2022-11-27,32136,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-11-28,2022-12-11,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-12-12,2022-12-25,32136,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2022-12-26,2023-01-08,32136,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-01-09,2023-01-22,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-01-23,2023-02-05,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-02-06,2023-02-19,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-02-20,2023-03-05,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-03-06,2023-03-19,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-03-20,2023-04-02,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-04-03,2023-04-16,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-04-17,2023-04-30,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-05-01,2023-05-14,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-05-15,2023-05-28,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-05-29,2023-06-11,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-06-12,2023-06-25,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-06-26,2023-07-09,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-07-10,2023-07-23,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-07-24,2023-08-06,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-08-07,2023-08-20,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-08-21,2023-09-03,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-09-04,2023-09-17,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-09-18,2023-10-01,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-10-02,2023-10-15,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-10-16,2023-10-29,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-10-30,2023-11-12,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0102,2023-11-13,2023-11-26,32136,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-02-24,2020-03-08,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-03-09,2020-03-22,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-03-23,2020-04-05,158566,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-04-06,2020-04-19,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-04-20,2020-05-03,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-05-04,2020-05-17,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-05-18,2020-05-31,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-06-01,2020-06-14,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-06-15,2020-06-28,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-06-29,2020-07-12,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-07-13,2020-07-26,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-07-27,2020-08-09,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-08-10,2020-08-23,158566,60-119,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-08-24,2020-09-06,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-09-07,2020-09-20,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-09-21,2020-10-04,158566,0-59,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-10-05,2020-10-18,158566,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-10-19,2020-11-01,158566,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-11-02,2020-11-15,158566,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-11-16,2020-11-29,158566,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-11-30,2020-12-13,158566,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-12-14,2020-12-27,158566,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2020-12-28,2021-01-10,158566,480-959,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-01-11,2021-01-24,158566,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-01-25,2021-02-07,158566,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-02-08,2021-02-21,158566,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-02-22,2021-03-07,158566,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-03-08,2021-03-21,158566,120-239,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-03-22,2021-04-04,158566,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-04-05,2021-04-18,158566,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
BZRK0103,2021-04-19,2021-05-02,158566,240-479,COVID19Cases,BZRK,2023-11-28_06-00-38,2021-01-01
